Business Model,How it works?,Where it Comes from?,Examples,Who is it for?
Add-On,"The core product is priced competitively, but numerous extra features or services (add-ons) increase the final price. Customers can customize the product to their needs (WHAT?). The revenue from hefty premiums on optional features drives up profit (VALUE?). This model uses a sophisticated pricing strategy where the core product is advertised at a very low rate.","The concept of additional offers has existed for a long time. Industrialization helped create modular products allowing for extras. The tourism industry adopted this model, with cruise lines selling basic transport cheaply and charging premiums for add-ons like better rooms and excursions.",Ryanair (1985): Offers cheap basic airfares while charging for extras like baggage and meals. Bosch Engineering GmbH (1999): Offers standard hardware for electronic control units and sells customization software as a separate service. Tesla (2003): Offers performance add-ons via software updates after purchase. SAP (1992): Sells its standard business suite at a moderate price while encouraging clients to buy additional applications.,This is well-suited for markets where customer preferences diverge vastly. It is standard in the car industry. It works in B2B for bundling low-margin core products with high-margin extras. It can also help technologies break through by cross-subsidizing them.
Affiliation,"The company supports other parties (affiliates) to market products, gaining access to a diversified customer base without extra marketing efforts. When a customer makes a purchase, the referring reseller is identified (HOW?) and receives a commission (VALUE?). For resellers like blogs or price comparison sites, this can be the central revenue model.","Its origins trace back to the emergence of the Internet. PC Flowers & Gifts had an active affiliate program by 1995. It is likely that adult sites pioneered this concept in the early 1990s, offering high commissions.","Amazon (1995): Popularized the model with its Amazon.com Associates Program, granting partners 4–10% of turnover. Pinterest (2010): Uses affiliate identifiers when users pin items for sale, generating commissions. Wirecutter (2011): Charges a commission for every recommended product a user purchases through a click.","This model requires a strong ecosystem and passionate customers. It creates a win-win situation because merchants only incur costs when sales are generated, and affiliates are motivated by financial rewards. It is an excellent choice if a company cannot afford a direct sales force."
Aikido,"Inspired by the Japanese martial art, this model involves offering products or services that are radically different from the industry standard (WHAT?). The company occupies a position opposite to its competitors, turning their strengths into weaknesses. This differentiation attracts customers who prefer concepts opposed to the mainstream.","The concept dates back to antiquity (e.g., David and Goliath). In business, Six Flags (1961) was an early adopter, focusing on regional themes and easy access, contrasting with national parks like Disneyland.","The Body Shop (1976): Rejected glamorous ads, sold environmentally friendly products, and campaigned against animal testing. Swatch (1983): Offered moderately priced, high-quality designer watches as fashion accessories, contrasting with the luxury Swiss watch industry. Cirque du Soleil (1984): Combined theater and circus arts, avoiding costly features like animal performances to appeal to adults.",Applying Aikido demands courage and out-of-the-box thinking. It can work in any industry. Success relies on identifying a competitor's strengths and finding an opposing strategy that renders them irrelevant. Market checks are crucial.
Auction,"The model uses participative pricing where the price is influenced by buyers through bidding. The highest bidder purchases the item. The customer benefits by never paying more than they are willing to afford (WHAT?). The vendor benefits from efficient product allocation (VALUE?), which is especially valuable for rare or hard-to-price products. A variant is the reverse auction, where vendors bid for a contract.","Auctions are an age-old model, commercialized by houses like Sotheby’s (1744). The Internet expanded their reach. eBay (1995) became the largest global online auction house.",Priceline (1997): Implemented a reverse auction for travel services where customers submit their maximum price. MyHammer (2005): Uses reverse auctions for tradespeople. Google Ads (2003): Uses a theoretical auction system based on advertiser bid and ad quality to determine ad placement. Auctionmaxx (2012): Liquidates unclaimed freight online without reserve prices.,The Auction pattern is highly scalable and flexible. It is useful for increasing transparency for standardized products or for selling highly specialized products if sufficient traffic can be attracted.
Barter,"This model involves the direct exchange of products or services for goods or services in kind, without any monetary transaction (VALUE?). It can boost a brand by cost-effectively introducing new potential customers to products (WHAT?). The exchange relies on the differing perceived value of the goods/services by each party.","The roots of Barter date back to antiquity. In the modern business world, the concept gained traction after the 1960s.","Procter & Gamble (P&G) (1970): Sponsored ""soap operas"" in exchange for advertising and gives away free Pampers in maternity wards. Lufthansa (1993): Bartered unused retail space for airtime. Magnolia Hotels (2007): Trades room nights for goods or services. ""Pay with a Tweet"" (2010): Provides a free product in exchange for a user tweeting about it.","This pattern is valuable for businesses with complementary partners. It enables mutually beneficial goals, such as acquiring new customers. It works well when external assets (like unused capacity) can be exchanged for necessary goods or services."
Cash Machine,"This model operates with a negative cash conversion cycle, meaning the company collects cash from customers faster than it pays suppliers. This generates additional liquidity (VALUE?) for investments or growth. Key levers are negotiating generous payment terms with suppliers (HOW?) and ensuring prompt payment from customers.","The principle has existed for a long time. American Express (1891) pioneered a model based on this with traveler’s cheques, generating interest on the funds held (the 'float').",Dell (1984): Achieved a highly negative cash conversion cycle through its build-to-order strategy. Amazon (1994): Uses this pattern effectively through rapid inventory turnover and generous supplier terms. PayPal (1998): Earns interest on user funds held and receives upfront fees for payment processing.,This pattern is suitable if a business builds to order or has the bargaining power to negotiate favorable payment conditions. It provides crucial liquidity but is only feasible if the offering has a high perceived value for customers.
Cross-Selling,"This involves offering complementary products and services beyond a company’s primary offering (WHAT?), exploiting existing customer relationships to maximize sales. It leverages existing resources like sales and marketing (HOW?, VALUE?). Customers benefit from the convenience of purchasing multiple related products from a single source (WHAT?).","The practice was used by merchants in ancient bazaars. Royal Dutch Shell (1930s) was a modern pioneer, selling unrelated goods like groceries at its petrol stations.","IKEA (1956): Boosts sales by offering complementary services like in-store restaurants and car rentals. Aldi (1986): Uses rotational campaigns to sell non-grocery items like laptops. Zalando (2008): Suggests complementary items (""Complete the look""). Booking.com (1996): Suggests related travel services after a booking.","Cross-Selling holds great potential when a low-margin core product can be bundled with high-margin complementary products. In B2B, it is used to bundle specialized products or services to meet customer demand for one-stop solutions."
Crowdfunding,"This model outsources the financing of a project to the general public (the ""crowd""), typically via an online platform (HOW?). Project creators gain access to a broad pool of investors (VALUE?). Backers typically receive project-specific rewards in return (HOW?). Funding often operates on an all-or-nothing basis, reducing risk.",The practice dates back to antiquity. The modern era began when the band Marillion (1997) used an online campaign to finance its US tour.,"Cassava Films (1998): Funded post-production of its film. diaspora (2010):* A non-profit social network that raised $200,000 on Kickstarter. Sono Motors (2016): Raised over €6 million on Seedrs for its solar-powered car. Modern Dayfarer (2018): Used Kickstarter to fund its backpack via pre-orders.",This model is a source of zero-interest financial resources and allows entrepreneurs to validate ideas early. It is advantageous for projects that are emotionally oriented or have high public interest. It provides valuable feedback from interested participants.
Crowdsourcing,"This involves outsourcing specific tasks or problems to an anonymous external crowd, usually via an open call (HOW?). The aim is to tap into external knowledge to develop solutions more effectively and cheaply (VALUE?). Contributors may be motivated by monetary rewards or personal interest. If an idea is chosen, the contributor receives a reward.","The term was coined in 2006, but the historical root is seen in initiatives like the British Longitude Act of 1714, which offered a reward for solving the longitude problem.","Cisco (2007): Uses its ""I-Prize"" competition to procure innovative business proposals. McDonald’s (2014): Asked customers to submit burger recipes for public voting. Airbnb (2015): Crowdsourced authentic marketing videos. InnoCentive (2001): A platform where companies post R&D challenges with financial rewards.",Applicable to almost any company's ideation phase. It works best for companies that wish to leverage external innovation potential. It is vital to frame the problem specifically enough for the crowd to provide relevant input.
Customer Loyalty,"This model retains customers by offering incentives beyond the basic transaction (e.g., reward programs, discounts). The system reduces the incentive for customers to switch to competitors. Crucially, the model allows the company to track purchasing behavior and gather valuable data (WHY?), which is used to optimize offerings and marketing.","The pattern is over 200 years old. Sperry & Hutchinson (1897) was a pioneer, providing Green Shield Stamps redeemable for catalogue products.","American Airlines (1981): Introduced AAdvantage, one of the first frequent flyer programs. Payback (2000): Tracks purchasing behavior across partner firms for targeted advertising. Starbucks (2010): Integrated its bonus program into its mobile app to centralize customer and transaction data.","This model has become a necessity for long-term success, especially in competitive industries. It is suitable for businesses aiming to develop an emotional relationship with customers and drive brand identification."
